"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MSCI","MSCI Inc","32.67","3941769479.67","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/msci",
"LABL","Multi-Color Corporation","26.01","420647297.22","n/a","1987","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/labl",
"NCR","NCR Corporation","27.04","4427325231.68","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ncr",
"NTES","NetEase, Inc.","54.76","4054786066.2","74046495","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ntes",
"NEWT","Newtek Business Services Inc.","2.13","75214321.44","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/newt",
"NLSN","Nielsen Holdings N.V.","34.85","12646227031.75","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/nlsn",
"OPAY","Official Payments Holdings, Inc.","5.58","93275441.82","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/opay",
"ONVI","Onvia, Inc.","3.76","32209148.88","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/onvi",
"OPEN","OpenTable, Inc.","63.2","1450812311.2","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/open",
"OBT","Orbital Corporation Limited","2.9401","8953057.2754","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/obt",
"PAR","PAR Technology Corporation","4.18","64082401.24","n/a","1986","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/par",
"PDII","PDI, Inc.","4.84","72675020","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pdii",
"PCO","Pendrell Corporation","1.58","419233626.04","n/a","2002","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/pco",
"PWRD","Perfect World Co., Ltd.","9.75","420815274.75","43160541","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pwrd",
"PFSW","PFSweb, Inc.","3.98","50993296.28","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pfsw",
"PBI","Pitney Bowes Inc","14.72","2965537729.92","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pbi",
"PBI^","Pitney Bowes Inc","240","0","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pbi^",
"PLPM","Planet Payment, Inc.","3.09","165937193.13","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/plpm",
"PCOM","Points International, Ltd.","15.84","240280745.76","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pcom",
"POWR","PowerSecure International, Inc","12.12","220978481.76","n/a","1987","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/powr",
"PGI","Premiere Global Services, Inc.","10.71","510500760.84","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pgi",
"PCLN","priceline.com Incorporated","696.53","34736573101.29","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pcln",
"QUAD","Quad Graphics, Inc","22.78","1083485276.68","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/quad",
"QNST","QuinStreet, Inc.","6.21","265758285.15","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qnst",
"RRD","R.R. Donnelley & Sons Company","11.56","2084778928.88","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/rrd",
"RDWR","Radware Ltd.","28.8","645543619.2","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rdwr",
"REIS","Reis, Inc","15.53","169117413.72","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/reis",
"REFR","Research Frontiers Incorporated","4.04","92581023.8","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/refr",
"RECN","Resources Connection, Inc.","11.4","467455426.8","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/recn",
"RBA","Ritchie Bros. Auctioneers Incorporated","19.88","2119958688.68","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rba",
"RPXC","RPX Corporation","13.97","718961523.72","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/rpxc",
"SCGQ","SCG Financial Acquisition Corp","9.99","96341661.9","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/scgq",
"SREV","ServiceSource International, Inc.","6.05","459967923.8","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/srev",
