"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"C^W","Citigroup Inc.","25.23","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^w",
"CZNC","Citizens & Northern Corp","19.62","241945089.48","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","7.25","37377592.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","9.45","18604942.65","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","19.25","93586069.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cizn",
"CRBC","Citizens Republic Bancorp, Inc.","22.79","922871888.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crbc",
"CIA","Citizens, Inc.","7.93","397148896.04","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/cia",
"CHCO","City Holding Company","38.82","607892589.66","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chco",
"CYN","City National Corporation","57.19","3087219542.33","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cyn",
"CSBK","Clifton Savings Bancorp, Inc.","11.92","311736190.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/csbk",
"CME","CME Group Inc.","60.25","20098234885.5","n/a","2002","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cme",
"CMSB","CMS Bancorp, Inc.","8.41","15666173.23","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cmsb",
"CNA","CNA Financial Corporation","32.36","8721991350.12","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cna",
"CCNE","CNB Financial Corporation","16.81","210266254.43","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccne",
"CISG","CNinsure Inc.","6.06","213000934.14","35148669","2007","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/cisg",
"CNO","CNO Financial Group, Inc.","10.97","2453100419.03","n/a","1985","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/cno",
"COBZ","CoBiz Financial Inc.","7.9","315243788.3","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cobz",
"CVLY","Codorus Valley Bancorp, Inc","15.414","69175812.384","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CNS","Cohn & Steers Inc","35.58","1573264378.38","n/a","1985","Finance","Investment Managers","http://www.nasdaq.com/symbol/cns",
"JACQ","COLLABRIUM JAPAN ACQUISITION CORPORATION","10.1","56560000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/jacq",
"JACQU","COLLABRIUM JAPAN ACQUISITION CORPORATION","10.1999","57119440","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/jacqu",
"JACQW","COLLABRIUM JAPAN ACQUISITION CORPORATION","0.18","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/jacqw",
"COBK","Colonial Financial Services, Inc.","13.59","52498958.22","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cobk",
"CBAN","Colony Bankcorp, Inc.","5.5","46415919","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cban",
"COLB","Columbia Banking System, Inc.","21.14","842407204.66","n/a","1992","Finance","Major Banks","http://www.nasdaq.com/symbol/colb",
"CMA","Comerica Incorporated","34.65","6493163707.8","n/a","1986","Finance","Major Banks","http://www.nasdaq.com/symbol/cma",
"CBSH","Commerce Bancshares, Inc.","39.88","3621862318.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbsh",
"CBIN","Community Bank Shares of Indiana, Inc.","16.084","54453909.98","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbin",
"CBU","Community Bank System, Inc.","29.27","1163820890.47","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbu",
"ESXB","Community Bankers Trust Corporation.","3.28","71026389.36","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/esxb",
"CPBC","Community Partners Bancorp","6.5501","52513297.9675","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cpbc",
"CTBI","Community Trust Bancorp, Inc.","33.67","526618665.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ctbi",
"CWBC","Community West Bancshares","5","30166735","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cwbc",
"CNOB","ConnectOne Bancorp, Inc.","29.72","149192616.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cnob",
"CTO","Consolidated-Tomoka Land Co.","39.75","232458993.75","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"CPSS","Consumer Portfolio Services, Inc.","10.77","216498141.51","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cpss",
"BCA","Corpbanca","20.56","3431576298.72","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bca",
"GYA","Corporate Asset Backed Corp CABCO","25.1","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gya",
"GYC","Corporate Asset Backed Corp CABCO","23.51","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyc",
"CRVL","CorVel Corp.","49.84","539457394.56","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/crvl",
"COWN","Cowen Group, Inc.","2.75","318930485.5","n/a","2006","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cown",
"CPF","CPB Inc.","15.33","642518870.28","n/a","1988","Finance","Major Banks","http://www.nasdaq.com/symbol/cpf",
"CRD/A","Crawford & Company","5.51","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/crd/a",
"CRD/B","Crawford & Company","7.79","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/crd/b",
"BAP","Credicorp Ltd.","160.55","12805468000","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bap",
"CACC","Credit Acceptance Corporation","115.5","2724355788","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cacc",
"GLDI","Credit Suisse Gold Shares Covered Calls ETN","18.96","256441621.92","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"CS","Credit Suisse Group","26.26","33975006569.66","n/a","1989","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cs",
"CRFN","Crescent Financial Bancshares, Inc.","4.07","187591643.91","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crfn",
"CRESW","Cresud S.A.C.I.F. y A.","0.072","0","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cresw",
"CRESY","Cresud S.A.C.I.F. y A.","9.52","444239023.76","46663763","1997","Finance","Real Estate","http://www.nasdaq.com/symbol/cresy",
"CUNB","CU Bancorp (CA)","12.93","138898029.51","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cunb",
"CFR","Cullen/Frost Bankers, Inc.","62.27","3837853533.28","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfr",
"CVBF","CVB Financial Corporation","10.96","1149710828.08","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvbf",
"DB","Deutsche Bank AG","39.77","36827020000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","27.94","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dtk",
"DTT","Deutsche Bank AG","25.35","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dtt",
"DXB","Deutsche Bank AG","26.75","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DCE","Deutsche Bk Cap Fdg Tr X","25.5","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dce",
"DLLR","DFC Global Corp","13.8","578020176","n/a","2005","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dllr",
