"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CHNR","China Natural Resources, Inc.","4.572","113892707.952","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"CPSL","China Precision Steel, Inc.","1.4","5433212.4","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cpsl",
"SHZ","China Shen Zhou Mining & Resources, Inc.","0.276","13685945.484","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/shz",
"CHD","Church & Dwight Company, Inc.","63.25","8738342522.25","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/chd",
"CGR","Claude Resources, Inc.","0.4199","73823196.7824","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/cgr",
"CLH","Clean Harbors, Inc.","56.67","3427518113.52","n/a","1997","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/clh",
"CLW","Clearwater Paper Corporation","50.12","1115387520.8","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/clw",
"CLF","Cliffs Natural Resources Inc.","18.79","2997859362.51","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/clf",
"CLV","Cliffs Natural Resources Inc.","18.54","0","n/a","1997","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/clv",
"CDXS","Codexis, Inc.","2.1","79820344.8","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cdxs",
"CDE","Coeur d&#39;Alene Mines Corporation","17.21","1566568835.81","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/cde",
"CCIX","Coleman Cable, Inc.","14.55","256960609.65","n/a","1993","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccix",
"CMC","Commercial Metals Company","14.41","1684214991.69","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cmc",
"CMP","Compass Minerals International, Inc.","76.86","2557663610.04","n/a","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/cmp",
"LODE","Comstock Mining, Inc.","1.99","113719469.38","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"GLW","Corning Incorporated","13.35","19662525873","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/glw",
"CVA","Covanta Holding Corporation","19.74","2581430890.5","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/cva",
"CXZ","Crosshair Energy Corp","0.09","5920396.02","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/cxz",
"CRWS","Crown Crafts, Inc.","6.11","60049196.09","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/crws",
"CTIB","CTI Industries Corporation","5.3","17127723.8","n/a","1997","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/ctib",
"CFI","Culp, Inc.","15.91","194498063.54","n/a","1986","Basic Industries","Textiles","http://www.nasdaq.com/symbol/cfi",
"UAN","CVR Partners, LP","23.96","1750640826.28","n/a","1992","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/uan",
"CYT","Cytec Industries Inc.","75.03","3390303404.13","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cyt",
"DEL","Deltic Timber Corporation","65.65","834532296","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del",
"DNN","Denison Mine Corp","1.24","492008928.56","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"HXM","Desarrolladora Homex","9.09","507307636.89","n/a","2004","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/hxm",
"UFS","Domtar Corporation","77.37","3290460683.52","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ufs",
"DOW","Dow Chemical Company (The)","30.68","37065421803.8","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dow",
"DRD","DRDGOLD Limited","7.3","281330144.8","n/a","1998","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd",
"DY","Dycom Industries, Inc.","18.76","619406705.4","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/dy",
"DD","E.I. du Pont de Nemours and Company","48.8","44850731997.6","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd",
"DD^A","E.I. du Pont de Nemours and Company","88.89","0","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","104.8","0","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^b",
"EMN","Eastman Chemical Company","67.86","10519513404.66","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/emn",
"ECL","Ecolab Inc.","80.04","23660623279.44","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ecl",
"EDG","Edgen Group Inc.","6.98","302152278.16","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/edg",
"EGO","Eldorado Gold Corporation","8.07","5766293221.32","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ego",
